joka_id	kategorija
30lywvzfsowzxkiiy2voyw	animal
zjuwql5ns-mklqumqezlhg	animal
o0sukejatqchi7oyjms6mw	animal
o-vfxwx6rgecuo_f5cecpq	animal
xwjic1sws_yohsfefndaiw	animal
bmom6jqftpqgokh8adtolw	animal
cwguxfhptcuagndjdt1hya	career
zk14uc6xr82d7ig9qhaymg	career
3y7vnqsvtvuvvmhtuqjuma	career
hxdulftcswqglp1-qe3nfw	celebrity
COYWgMlDQjKDykI-sIQkGQ	celebrity
H_kE59K4SDi-lgW7s2E7Yw	celebrity
qamhhyket_a5iq8by3l4vw	celebrity
OcCjQO91SDy_p83n9R2HSw	celebrity
664705gltfezqxhwbzykrg	celebrity
d1zkxVsISTegGBqmO8nxug	celebrity
3_7wul0hsdgj9gd_0ntakg	celebrity
t14_olJKRAyw8NkK6rlr1g	celebrity
iqysvkptqdi4of6ns71ffa	celebrity
WSqbOb0aRyK83NNJmvlHHA	celebrity
l7QlUREJQzOIJVB88DY9jg	celebrity
nbfmksvwq3stmubxphsfbw	celebrity
atjzspmtspsh_sfw6rtocw	celebrity
xe0kw90vqiatgmlqkh2b1a	celebrity
qqu1j77sqfkr-pekzhnk_q	celebrity
pnQl3oDaR6awLxvpS1_37w	celebrity
4fmvnwfasrwmh58yjbuv1g	celebrity
iDINmgz-RuuY715ky4KIFQ	celebrity
pooli1vys9qwxmf57_mv-w	celebrity
oc9o2hv9qpqruqtn7tz1_a	celebrity
qlg0kzTbS4K_jG1yoNSDEA	celebrity
xyhl4mh4q72locghzxm-tw	celebrity
xbae5jywto6wjcwalfwlmq	celebrity
qpz0nosttf2slw7l-nonaw	celebrity
vvwoodhpr1-bbid5hbs9gw	celebrity
y7_p2-52sc2t7ho1hjtwcq	dev
mgdb9q1wqb6_gurzp_5bga	dev
0gno3wclrfohs9a_mlx7rw	dev
hvj9bov5qoscyakmzylsag	dev
bwoz2uwsqnwmyawyxdvo1w	dev
each6usssvavuwtvv3r95q	dev
2wzginmks8azrbaxnamxdw	dev
ae-78cogr-cb6x9hluwqtw	dev
o8a2hwedsl229fyvwikkxq	dev
hzuvgphrtdmmbjdpnaxskw	dev
nmlts0sqrwifigqta-rv_g	dev
zdj0bfkjsmup6pkb2rpmbw	dev
yrvjrpx3t4qxqmowpyvxbq	dev
c4dlzikztk-vqqvhbzdqyg	dev
uhcflvv3qfatx2ku9npdrg	dev
poqerqlpqz2en3hacikbjw	dev
zhh3ckdztwcincr40fmgpq	dev
elgv2wkvt8ioag6xywykbq	dev
nwklry_-spcowdv1lhuwsw	dev
iy5n_afwrrqrj9wb6n21ww	dev
63pymsysqiexzldn5-wdzq	dev
lkor-8baqmcjoftr-am_qw	dev
koujbr9ms0ejs7-_mub34q	dev
cvwhdzuoryulqbyermgdxw	dev
urzvrrpnttmipfzzpkvblq	dev
nsle0zt-sis8fnwkrytwma	dev
jqgu04prsomr9uiwbyzebq	dev
hlsa0rurqwyqanmszx0miq	dev
41rkit60rnklc8w7fox1cq	dev
espieyuysgeopdhgcdrmjw	dev
wsihtcmyrnkptsnr_b4ygg	dev
p4tviyvmrbkcjbqsydybuq	dev
wlmypgkkrlgjguoyhc2e0q	dev
4rfk-ymnth28ny8q2pbrow	dev
jfbsb24mtawqb-s5zlx8mg	dev
mbxkx1y8qgwbu5ld3qen4w	dev
og4cu6e3teuwvlhnezj37w	dev
hpves7kxrm68d_rvcuuivg	dev
yk-jfmgetniu0dwr3qqcgg	dev
i8k15bwdq4iwpdz3__u8fg	dev
nzf46249t8cf7wgz3rf_rg	dev
7tuczvb2rpy-xn7alkmz0w	dev
ag_6paerrkg-mxfjjqw4ba	dev
s4ymkruzsks7loog8eqsya	dev
tw3srzdsrgsnxc9ycjrqhg	dev
7ver3y48qqsfktpelir7ua	dev
mmwqlubbs5-eh2zqbndzeg	dev
va5aaacnq3yhx5wvfwtinw	dev
vhyuanawsl-rpq18bwwgfq	dev
H9ASnHczQBG0Dj_a7eoRhw	dev
aybvxdnmr82jc_jssvkegw	dev
7y7l53dhrjey2iz4xwv4rw	dev
zoxs7nteqyocqyw7uyiveq	dev
ughqsstqtmihbbknicskaq	dev
caghe37xsemyequkhrpzcg	dev
oe071v9ht0qphuzwgzxaoq	dev
90mdw_2uq2anw-r0fakc0w	dev
73fgwax6s6eukfwgiuqrxq	dev
tanwfuavq82zn1y6t645bw	dev
reo41iwasygr5trac08e9g	dev
hcakrd4frju3vd-jakidqq	dev
dpk2_epftfgo0cgpfqcpgq	dev
etd9c1v9smqxo2xonfm2lq	dev
medf6licr1kzvma_mo_r4a	dev
2nd0jxvvqnwpvagswww-lg	dev
fivi0z5lt8gp_6vt3cc8pw	dev
rrt0vtiiqyi66shbp4qhiw	dev
uq-vwbx5t2g5xp95aggyxa	dev
1jgggc4rruety6zvlvb5ag	dev
