joka_id	joka_url	joks
30lywvzfsowzxkiiy2voyw	https://api.chucknorris.io/jokes/30lywvzfsowzxkiiy2voyw	Chuck Norris does not own a house. He walks into random houses and people move.
zjuwql5ns-mklqumqezlhg	https://api.chucknorris.io/jokes/zjuwql5ns-mklqumqezlhg	Chuck Norris can skeletize a cow in two minutes.
o0sukejatqchi7oyjms6mw	https://api.chucknorris.io/jokes/o0sukejatqchi7oyjms6mw	Chuck Norris can set ants on fire with a magnifying glass. At night.
o-vfxwx6rgecuo_f5cecpq	https://api.chucknorris.io/jokes/o-vfxwx6rgecuo_f5cecpq	They say curiosity killed the cat. This is false. Chuck Norris killed the cat. Every single one of them.
xwjic1sws_yohsfefndaiw	https://api.chucknorris.io/jokes/xwjic1sws_yohsfefndaiw	Chuck Norris once kicked a horse in the chin. Its decendants are known today as Giraffes.
bmom6jqftpqgokh8adtolw	https://api.chucknorris.io/jokes/bmom6jqftpqgokh8adtolw	Chuck Norris once rode a nine foot grizzly bear through an automatic car wash, instead of taking a shower.
cwguxfhptcuagndjdt1hya	https://api.chucknorris.io/jokes/cwguxfhptcuagndjdt1hya	"In the beginning there was nothing...then Chuck Norris Roundhouse kicked that nothing in the face and said ""Get a job"". That is the story of the universe."
zk14uc6xr82d7ig9qhaymg	https://api.chucknorris.io/jokes/zk14uc6xr82d7ig9qhaymg	Chuck Norris is actually the front man for Apple. He let's Steve Jobs run the show when he's on a mission. Chuck Norris is always on a mission.
3y7vnqsvtvuvvmhtuqjuma	https://api.chucknorris.io/jokes/3y7vnqsvtvuvvmhtuqjuma	Chuck Norris' first job was as a paperboy. There were no survivors.
hxdulftcswqglp1-qe3nfw	https://api.chucknorris.io/jokes/hxdulftcswqglp1-qe3nfw	"Wilt Chamberlain claims to have slept with more than 20,000 women in his lifetime. Chuck Norris calls this ""a slow Tuesday."""
COYWgMlDQjKDykI-sIQkGQ	https://api.chucknorris.io/jokes/COYWgMlDQjKDykI-sIQkGQ	"Each time you rate this, Chuck Norris hits Obama with Charlie Sheen and says, ""Who's winning now?!"""
